Thu May 28 06:36:35 PM UTC 2026 - Sistema iniciado
2026-05-28 18:38:13 | 45.148.10.200:48532  | CONNECT    | Cliente conectado
2026-05-28 18:38:23 | 45.148.10.200:48532  | DISCONNECT | Cliente desconectado
2026-05-28 18:38:23 | 45.148.10.200:54942  | CONNECT    | Cliente conectado
2026-05-28 18:38:28 | web             | LIST       | entrada/ (3 archivos)
2026-05-28 18:38:28 | 45.148.10.200:54942  | DISCONNECT | Cliente desconectado
2026-05-28 18:38:55 | web             | LIST       | entrada/ (3 archivos)
2026-05-28 18:44:02 | web             | LIST       | procesados/ (0 archivos)
2026-05-28 18:44:02 | web             | LIST       | entrada/ (3 archivos)
2026-05-28 18:44:07 | web             | LIST       | entrada/ (3 archivos)
2026-05-28 18:44:07 | web             | LIST       | procesados/ (0 archivos)
2026-05-28 18:44:12 | web             | READ       | archivo1.txt (20 chars)
2026-05-28 18:44:25 | web             | READ       | archivo1.txt (20 chars)
2026-05-28 18:44:29 | web             | READ       | archivo1.txt (20 chars)
2026-05-28 18:44:47 | web             | READ       | archivo1.txt (20 chars)
2026-05-28 18:45:22 | web             | READ       | archivo1.txt (52 chars)
2026-05-28 18:45:29 | web             | READ       | archivo2.txt (20 chars)
2026-05-28 18:45:31 | web             | READ       | archivo1.txt (52 chars)
2026-05-28 18:46:07 | web             | LIST       | procesados/ (0 archivos)
2026-05-28 18:46:07 | web             | LIST       | entrada/ (3 archivos)
2026-05-28 18:46:12 | web             | LIST       | entrada/ (3 archivos)
2026-05-28 18:46:12 | web             | LIST       | procesados/ (0 archivos)
2026-05-28 18:46:17 | web             | LIST       | procesados/ (0 archivos)
2026-05-28 18:46:17 | web             | LIST       | entrada/ (3 archivos)
2026-05-28 18:46:22 | web             | LIST       | procesados/ (0 archivos)
2026-05-28 18:46:22 | web             | LIST       | entrada/ (3 archivos)
2026-05-28 18:46:26 | web             | UPLOAD     | prueba.txt (41 bytes)
2026-05-28 18:46:26 | web             | LIST       | entrada/ (4 archivos)
2026-05-28 18:46:27 | web             | LIST       | entrada/ (4 archivos)
2026-05-28 18:46:27 | web             | LIST       | procesados/ (0 archivos)
2026-05-28 18:46:32 | web             | LIST       | procesados/ (0 archivos)
2026-05-28 18:46:32 | web             | LIST       | entrada/ (4 archivos)
2026-05-28 18:46:34 | web             | READ       | prueba.txt (40 chars)
2026-05-28 18:46:34 | web             | READ       | prueba.txt (40 chars)
2026-05-28 18:46:37 | web             | LIST       | entrada/ (4 archivos)
2026-05-28 18:46:37 | web             | LIST       | procesados/ (0 archivos)
